Unit,Section,Num,POS,English,Chinese
1,Vocabulary,1,adj.,golden,金的；金色的
1,Vocabulary,1,n.,gold,黄金
1,Vocabulary,2,n.,agreement,同意；应允
1,Vocabulary,2,v.,agree,同意
1,Vocabulary,2,v.,disagree,不同意
1,Vocabulary,3,adj.,real,真的；正宗的
1,Vocabulary,3,adv.,really,真地
1,Vocabulary,3,v.,realize,意识到；实现
1,Vocabulary,3,n.,reality,现实
1,Vocabulary,4,n.,truth,真相；实情
1,Vocabulary,4,adj.,true,真的
1,Vocabulary,4,adv.,truly,真地
1,Vocabulary,5,v.,solve,解决
1,Vocabulary,5,n.,solution,解决方案
1,Vocabulary,6,adj.,certain,确定的；肯定的
1,Vocabulary,6,adv.,certainly,确定地；当然地
1,Vocabulary,7,n.,prison,监狱
1,Vocabulary,7,n.,prisoner,犯人
1,Vocabulary,8,adj.,brave,勇敢的；无畏的
1,Vocabulary,8,adv.,bravely,勇敢地
1,Vocabulary,8,n.,bravery,勇敢
1,Vocabulary,9,v.,make,做；制作
1,Vocabulary,9,n.,maker,制作者
1,Vocabulary,10,v.,correct,更正
1,Vocabulary,10,adj.,correct,正确的
1,Vocabulary,10,adv.,correctly,正确地；准确无误地
1,Vocabulary,10,adj.,incorrect,不正确的
1,Vocabulary,10,n.,correction,更正
1,Vocabulary,11,n.,mistake,错误
1,Vocabulary,11,v.,mistake,误会
1,Vocabulary,11,adj.,mistaken,错误的
1,Vocabulary,12,n.,confirmation,证实
1,Vocabulary,12,v.,confirm,证实
1,Vocabulary,13,v.,displace,取代；替代
1,Vocabulary,13,n.,place,地方
1,Vocabulary,13,v.,place,放置
1,Vocabulary,14,adj.,wise,明智的
1,Vocabulary,14,adv.,wisely,聪明地；明智地
1,Vocabulary,14,n.,wisdom,智慧
1,Vocabulary,15,v.,complete,完成
1,Vocabulary,15,adj.,complete,完全的
1,Vocabulary,15,adv.,completely,完全地
1,Vocabulary,16,adj.,difficult,难的；困难的
1,Vocabulary,16,n.,difficulty,困难
1,Vocabulary,17,v.,weigh,称重
1,Vocabulary,17,n.,weight,重量
1,Vocabulary,18,n.,boxing,拳击
1,Vocabulary,18,n.,box,盒子
1,Vocabulary,19,n.,racing,赛马（运动）
1,Vocabulary,19,n.,race,比赛
